epoch,batch,train_loss,train_accuracy,train_precision,train_recall,train_f1-score
0,0,3.8451025,0.03125,0.009615384615384616,0.019230769230769232,0.01282051282051282
1,1,4.040941,0.125,0.03238095238095238,0.12,0.05
1,2,4.034715,0.0625,0.04938271604938271,0.07407407407407407,0.05555555555555555
1,3,4.3422008,0.03125,0.01075268817204301,0.03225806451612903,0.016129032258064516
1,4,4.072283,0.0625,0.028735632183908042,0.05172413793103448,0.034482758620689655
1,5,3.5252125,0.21875,0.11180555555555556,0.19444444444444442,0.1202991452991453
1,6,4.3827496,0.125,0.08333333333333333,0.08333333333333333,0.07777777777777777
1,7,3.3330576,0.1875,0.10576923076923077,0.1282051282051282,0.10128205128205128
1,8,3.9206607,0.125,0.053125,0.125,0.07291666666666666
1,9,3.8685813,0.0625,0.013333333333333332,0.04,0.02
1,10,3.7141674,0.09375,0.029693486590038315,0.10344827586206896,0.04367816091954023
1,11,3.8777587,0.09375,0.05424063116370808,0.07051282051282051,0.04010989010989011
1,12,3.7268941,0.0625,0.04195804195804195,0.057692307692307696,0.04437869822485207
1,13,3.8642948,0.0,0.0,0.0,0.0
1,14,3.638972,0.125,0.08578431372549018,0.10416666666666667,0.07407407407407407
1,15,4.2464666,0.0625,0.04310344827586207,0.05172413793103448,0.0367816091954023
1,16,3.9113226,0.03125,0.04,0.04,0.04
1,17,3.7427125,0.15625,0.06043956043956044,0.1346153846153846,0.07435897435897436
1,18,3.7476354,0.09375,0.07389162561576354,0.08620689655172414,0.0660919540229885
1,19,3.6122904,0.125,0.12179487179487179,0.1346153846153846,0.11355311355311354
1,20,3.4652781,0.09375,0.04563492063492064,0.08928571428571429,0.04115646258503401
1,21,3.7805007,0.09375,0.05277777777777778,0.06666666666666667,0.05777777777777778
1,22,3.4884126,0.09375,0.03141025641025641,0.09615384615384616,0.04555052790346908
1,23,3.9336932,0.0625,0.04310344827586207,0.06896551724137931,0.04827586206896552
1,24,3.3145473,0.15625,0.125,0.12777777777777777,0.11666666666666665
1,25,3.324957,0.15625,0.04259259259259259,0.09259259259259259,0.058201058201058205
1,26,3.8732352,0.03125,0.013333333333333332,0.02,0.016
1,27,3.4431791,0.15625,0.04487179487179487,0.08653846153846154,0.053296703296703295
1,28,3.6680017,0.125,0.05679012345679012,0.09876543209876543,0.06695156695156695
1,29,3.797338,0.0625,0.014516129032258065,0.06451612903225806,0.023655913978494626
1,30,3.4481957,0.15625,0.08854166666666666,0.09895833333333333,0.08184523809523808
1,31,3.3974838,0.09375,0.039886039886039885,0.1111111111111111,0.05467372134038801
1,32,3.3146875,0.125,0.04741379310344827,0.1206896551724138,0.06666666666666667
1,33,3.4994588,0.125,0.03486394557823129,0.10714285714285714,0.05059523809523809
1,34,3.399958,0.15625,0.0587797619047619,0.1111111111111111,0.06759259259259259
1,35,3.4217296,0.125,0.07589285714285714,0.07142857142857142,0.055555555555555546
1,36,3.318881,0.0625,0.04,0.08,0.05333333333333333
1,37,3.4579377,0.125,0.06388888888888888,0.13333333333333333,0.07841269841269842
1,38,3.363341,0.1875,0.08717948717948718,0.16025641025641024,0.09545454545454546
1,39,3.367947,0.0625,0.01594202898550725,0.03623188405797101,0.022084195997239476
1,40,3.5177236,0.1875,0.09770114942528735,0.10114942528735633,0.09926854754440961
1,41,3.0046787,0.125,0.049999999999999996,0.10344827586206896,0.06321839080459771
1,42,3.481971,0.125,0.08166666666666668,0.1,0.06888888888888887
1,43,3.394539,0.15625,0.08928571428571429,0.125,0.08758503401360543
1,44,3.3844836,0.0625,0.027777777777777776,0.04444444444444444,0.03333333333333333
1,45,3.2109172,0.09375,0.035493827160493825,0.09259259259259259,0.04526748971193416
1,46,3.534334,0.09375,0.05459770114942528,0.08045977011494253,0.06157635467980296
1,47,3.1550229,0.1875,0.09339080459770113,0.1724137931034483,0.10536398467432949
1,48,3.2223704,0.21875,0.07253086419753087,0.14814814814814814,0.08847736625514403
1,49,2.6469452,0.3125,0.12356321839080459,0.15517241379310345,0.12725779967159276
1,50,3.1641805,0.15625,0.07777777777777777,0.15,0.09999999999999999
1,51,3.375309,0.15625,0.08928571428571429,0.09523809523809523,0.0642857142857143
1,52,3.383201,0.0625,0.04,0.06666666666666667,0.044444444444444446
1,53,3.468477,0.1875,0.07666666666666666,0.2,0.10933333333333334
1,54,2.9538162,0.15625,0.090625,0.09375,0.08556547619047619
1,55,3.4301665,0.09375,0.07526881720430106,0.08064516129032258,0.06989247311827956
1,56,3.6126254,0.09375,0.08064516129032258,0.06451612903225806,0.06989247311827956
1,57,3.1890776,0.28125,0.15053763440860213,0.18279569892473116,0.16251920122887864
1,58,3.3261838,0.125,0.04092261904761905,0.109375,0.056770833333333326
1,59,3.262382,0.0625,0.03125,0.03125,0.03125
1,60,3.245146,0.28125,0.13440860215053763,0.1774193548387097,0.14946236559139783
1,61,3.3203459,0.03125,0.03333333333333333,0.03333333333333333,0.03333333333333333
1,62,3.2258437,0.125,0.11607142857142858,0.08928571428571429,0.09523809523809523
1,63,3.296265,0.125,0.04444444444444444,0.09166666666666666,0.05285714285714286
1,64,3.4929185,0.125,0.10493827160493827,0.10493827160493827,0.08641975308641975
1,65,3.1904776,0.125,0.06372549019607843,0.08823529411764706,0.07254901960784314
1,66,3.245078,0.125,0.1,0.11666666666666667,0.09999999999999999
1,67,3.077857,0.15625,0.12333333333333334,0.1111111111111111,0.10222222222222221
1,68,2.6791515,0.3125,0.1470238095238095,0.25,0.17380952380952383
1,69,3.0020828,0.25,0.16666666666666666,0.20833333333333334,0.16904761904761906
1,70,2.8277786,0.21875,0.15104166666666666,0.16666666666666666,0.140625
1,71,3.2546482,0.125,0.04687499999999999,0.09375,0.06145833333333334
1,72,3.1589777,0.15625,0.10555555555555556,0.13333333333333333,0.11555555555555555
1,73,2.7364693,0.21875,0.10833333333333332,0.21428571428571427,0.1357142857142857
1,74,3.0975034,0.15625,0.057291666666666664,0.0859375,0.06324404761904762
1,75,3.3036153,0.1875,0.13095238095238096,0.125,0.12159863945578231
1,76,3.0649025,0.03125,0.016666666666666666,0.016666666666666666,0.016666666666666666
1,77,2.8645847,0.15625,0.06133333333333333,0.1,0.06
1,78,3.490463,0.1875,0.16666666666666666,0.15,0.13043478260869565
1,79,2.945511,0.1875,0.07936507936507936,0.10185185185185185,0.08318636096413874
1,80,3.1836085,0.15625,0.08838383838383838,0.10606060606060606,0.08686868686868687
1,81,2.9608223,0.09375,0.07758620689655173,0.08045977011494251,0.06551724137931034
1,82,2.781695,0.25,0.18333333333333332,0.18333333333333332,0.18333333333333332
1,83,3.029358,0.21875,0.11728395061728394,0.1574074074074074,0.12680776014109346
1,84,3.1579206,0.125,0.06666666666666667,0.1,0.07142857142857142
1,85,2.6857078,0.15625,0.1139784946236559,0.12903225806451613,0.10967741935483871
1,86,2.4915764,0.34375,0.20476190476190473,0.24404761904761904,0.20255102040816328
1,87,2.9685333,0.1875,0.13541666666666666,0.140625,0.12708333333333333
1,88,2.8712294,0.1875,0.09444444444444443,0.15555555555555556,0.11
1,89,2.6997638,0.21875,0.10833333333333334,0.12777777777777777,0.09904761904761905
1,90,2.9156141,0.125,0.0784313725490196,0.06862745098039215,0.06764705882352941
1,91,2.8318152,0.1875,0.121875,0.125,0.11160714285714285
1,92,3.0980742,0.1875,0.16666666666666666,0.17777777777777776,0.1611111111111111
1,93,3.0647283,0.25,0.1810344827586207,0.20689655172413793,0.17471264367816092
1,94,3.194652,0.1875,0.08928571428571429,0.16071428571428573,0.11428571428571428
1,95,2.4827538,0.21875,0.12365591397849461,0.16129032258064516,0.12427035330261135
1,96,2.3966076,0.25,0.1527777777777778,0.19166666666666668,0.14333333333333334
1,97,2.702911,0.21875,0.12365591397849462,0.1774193548387097,0.13333333333333333
1,98,3.036127,0.0625,0.036036036036036036,0.05405405405405406,0.04054054054054054
1,99,3.138709,0.125,0.07096774193548387,0.0967741935483871,0.06989247311827956
1,100,2.861434,0.21875,0.1323529411764706,0.14705882352941177,0.1372549019607843
1,101,2.8958335,0.0625,0.041666666666666664,0.046875,0.04375
1,102,2.5536077,0.3125,0.17395833333333333,0.23958333333333331,0.19270833333333331
1,103,3.5966723,0.0625,0.017857142857142856,0.07142857142857142,0.028571428571428574
1,104,2.7388701,0.34375,0.19696969696969696,0.22727272727272727,0.202020202020202
1,105,2.607529,0.21875,0.1349206349206349,0.16666666666666666,0.13271604938271603
1,106,2.9864578,0.15625,0.12903225806451613,0.11290322580645161,0.1129032258064516
1,107,3.0419347,0.15625,0.1419753086419753,0.14814814814814814,0.12962962962962962
1,108,3.2878578,0.09375,0.04166666666666667,0.08928571428571429,0.05654761904761905
1,109,2.5624633,0.25,0.2,0.20430107526881722,0.18817204301075272
1,110,3.0766888,0.25,0.1781609195402299,0.22413793103448276,0.19195402298850575
1,111,3.1161816,0.21875,0.15625,0.21875,0.17038690476190477
1,112,3.072864,0.125,0.08333333333333333,0.125,0.09375
1,113,3.1574466,0.125,0.07238095238095238,0.1,0.07142857142857142
1,114,3.1110811,0.21875,0.12121212121212122,0.16161616161616163,0.13232323232323234
1,115,2.899626,0.125,0.109375,0.05208333333333333,0.06770833333333333
1,116,3.1417634,0.15625,0.13218390804597702,0.13218390804597702,0.11494252873563217
1,117,2.7439678,0.25,0.1773399014778325,0.20689655172413793,0.17528735632183906
1,118,2.7360003,0.28125,0.20689655172413793,0.27011494252873564,0.2149425287356322
1,119,2.8729317,0.28125,0.17261904761904762,0.19047619047619047,0.1753968253968254
1,120,3.1940439,0.1875,0.12634408602150538,0.09408602150537634,0.0989247311827957
1,121,3.0036695,0.125,0.08585858585858586,0.08585858585858586,0.07575757575757576
1,122,3.122015,0.125,0.08333333333333333,0.09375,0.07291666666666666
1,123,2.9723938,0.09375,0.059139784946236555,0.0967741935483871,0.06989247311827956
1,124,3.352842,0.125,0.10416666666666667,0.125,0.109375
1,125,2.9826677,0.125,0.0588235294117647,0.0980392156862745,0.06862745098039215
1,126,2.5669744,0.3125,0.22916666666666666,0.22395833333333331,0.2125
1,127,2.6999555,0.25,0.140625,0.15625,0.134375
1,128,2.7507768,0.28125,0.19010416666666666,0.265625,0.21354166666666666
1,129,2.970865,0.1875,0.171875,0.10416666666666666,0.12499999999999999
1,130,2.7588327,0.25,0.1414141414141414,0.1717171717171717,0.13535353535353536
1,131,2.8274415,0.28125,0.20833333333333331,0.25,0.20833333333333331
1,132,2.7273974,0.25,0.14770114942528736,0.1896551724137931,0.14433497536945813
1,133,2.7548697,0.25,0.18333333333333332,0.19444444444444448,0.1746031746031746
1,134,2.7307243,0.3125,0.16161616161616163,0.20454545454545456,0.1636363636363636
1,135,2.926695,0.3125,0.21428571428571427,0.22321428571428573,0.19166666666666665
1,136,2.893051,0.21875,0.23333333333333334,0.1472222222222222,0.1688888888888889
1,137,2.7981133,0.25,0.18279569892473116,0.2043010752688172,0.18279569892473116
1,138,2.888262,0.25,0.19666666666666666,0.18,0.16266666666666665
1,139,2.6729784,0.25,0.14666666666666667,0.228,0.16476190476190475
1,140,3.0356514,0.25,0.20967741935483872,0.22580645161290322,0.1978494623655914
1,141,2.7170777,0.1875,0.12365591397849462,0.13978494623655913,0.11827956989247311
1,142,2.3850863,0.34375,0.2619047619047619,0.22321428571428573,0.22585034013605446
1,143,2.4776154,0.25,0.19444444444444445,0.23333333333333334,0.2
1,144,2.6662366,0.21875,0.1881720430107527,0.1774193548387097,0.16666666666666666
1,145,2.863627,0.1875,0.109375,0.15625,0.125
1,146,2.829004,0.1875,0.12365591397849461,0.1774193548387097,0.13440860215053763
1,147,2.5937083,0.21875,0.15476190476190474,0.21428571428571427,0.16666666666666669
1,148,2.6516714,0.34375,0.22413793103448276,0.27011494252873564,0.22298850574712645
1,149,2.6839828,0.28125,0.1935483870967742,0.1935483870967742,0.1935483870967742
1,150,2.8374736,0.21875,0.16129032258064516,0.16129032258064516,0.15591397849462366
1,151,2.4935458,0.40625,0.30689655172413793,0.3275862068965517,0.30131362889983576
1,152,2.9229577,0.15625,0.10057471264367815,0.1206896551724138,0.09080459770114943
1,153,2.5829556,0.28125,0.16666666666666666,0.19999999999999998,0.1623809523809524
1,154,2.520412,0.3125,0.20384615384615384,0.21153846153846154,0.20085470085470084
1,155,3.0343769,0.1875,0.17204301075268816,0.16129032258064516,0.15591397849462366
1,156,2.509328,0.28125,0.16666666666666666,0.17708333333333331,0.16770833333333335
1,157,2.381727,0.34375,0.29310344827586204,0.29885057471264365,0.28160919540229884
1,158,2.2449944,0.34375,0.18717948717948715,0.3269230769230769,0.2294871794871795
1,159,2.5010607,0.25,0.16666666666666666,0.2037037037037037,0.17160493827160495
1,160,2.9372194,0.25,0.1383838383838384,0.18686868686868685,0.14646464646464646
1,161,2.8000944,0.25,0.18666666666666665,0.18133333333333332,0.15333333333333335
1,162,3.0237896,0.1875,0.09722222222222222,0.18333333333333332,0.11888888888888888
1,163,2.7178764,0.09375,0.0510752688172043,0.0967741935483871,0.06129032258064516
1,164,2.9144526,0.21875,0.10666666666666667,0.16666666666666666,0.1261904761904762
1,165,2.489556,0.25,0.1875,0.2202380952380952,0.1828231292517007
1,166,2.8660028,0.21875,0.16071428571428573,0.11904761904761904,0.13095238095238096
1,167,2.850665,0.21875,0.17204301075268816,0.16129032258064516,0.15591397849462366
1,168,2.6288452,0.25,0.1896551724137931,0.1839080459770115,0.18045977011494252
1,169,2.861614,0.125,0.04487179487179487,0.07692307692307693,0.04945054945054945
1,170,2.773884,0.15625,0.09696969696969697,0.10606060606060606,0.09090909090909091
1,171,2.8840423,0.1875,0.15625,0.15625,0.15625
1,172,2.665927,0.25,0.184375,0.1875,0.17931547619047616
1,173,2.5949914,0.15625,0.13218390804597702,0.1264367816091954,0.12068965517241378
1,174,2.7286963,0.28125,0.18888888888888886,0.21666666666666667,0.1877777777777778
1,175,2.8918238,0.21875,0.14285714285714285,0.17142857142857143,0.14476190476190476
1,176,2.407972,0.3125,0.25862068965517243,0.26436781609195403,0.2413793103448276
1,177,2.9342399,0.21875,0.15591397849462368,0.1774193548387097,0.15591397849462366
1,178,2.7492733,0.15625,0.13978494623655913,0.13978494623655915,0.12903225806451613
1,179,2.6405072,0.28125,0.22580645161290322,0.21236559139784944,0.20860215053763442
1,180,3.043786,0.15625,0.10344827586206896,0.10344827586206896,0.10344827586206896
1,181,2.5863714,0.34375,0.26666666666666666,0.22777777777777777,0.24222222222222223
1,182,2.5506322,0.1875,0.13970588235294118,0.16176470588235295,0.1392156862745098
1,183,2.9811165,0.25,0.14247311827956988,0.1935483870967742,0.14946236559139786
1,184,2.380802,0.375,0.296875,0.265625,0.26979166666666665
1,185,2.418582,0.28125,0.24074074074074073,0.2345679012345679,0.2222222222222222
1,186,2.705247,0.21875,0.1611111111111111,0.13888888888888887,0.13777777777777775
1,187,2.694822,0.15625,0.06565656565656565,0.10101010101010101,0.07272727272727272
1,188,2.51191,0.34375,0.34027777777777773,0.2791666666666667,0.2736111111111111
1,189,2.7900827,0.21875,0.13055555555555556,0.17777777777777776,0.14730158730158732
1,190,2.478261,0.1875,0.140625,0.171875,0.14583333333333331
1,191,2.7824452,0.25,0.22580645161290322,0.18279569892473116,0.1956989247311828
1,192,2.7463229,0.25,0.1796875,0.234375,0.19479166666666664
1,193,2.9551003,0.25,0.17857142857142858,0.21428571428571427,0.19047619047619047
1,194,2.233601,0.25,0.15053763440860213,0.16129032258064516,0.13548387096774195
1,195,2.3566208,0.5,0.369047619047619,0.38095238095238093,0.3559523809523809
1,196,2.6757338,0.21875,0.109375,0.15625,0.12395833333333334
1,197,2.4661674,0.3125,0.20689655172413793,0.21839080459770113,0.20344827586206896
1,198,2.5389032,0.375,0.3055555555555556,0.3364197530864197,0.2876543209876543
1,199,2.738038,0.28125,0.19791666666666666,0.21875,0.19166666666666665
1,200,2.656677,0.25,0.12356321839080459,0.1839080459770115,0.13333333333333333
1,201,2.7994168,0.28125,0.1845238095238095,0.1845238095238095,0.17380952380952383
1,202,2.857739,0.15625,0.08333333333333333,0.0625,0.06994047619047619
1,203,2.3040953,0.34375,0.22126436781609193,0.264367816091954,0.21609195402298853
1,204,2.8538964,0.09375,0.0404040404040404,0.07575757575757576,0.0505050505050505
1,205,2.5860102,0.21875,0.13978494623655913,0.16129032258064516,0.14731182795698924
1,206,2.5466137,0.28125,0.14814814814814814,0.24074074074074073,0.17160493827160492
1,207,2.9814653,0.1875,0.14,0.1611111111111111,0.12777777777777777
1,208,2.6686492,0.15625,0.07222222222222222,0.11666666666666667,0.08333333333333333
1,209,2.4456167,0.3125,0.24691358024691357,0.24691358024691357,0.22962962962962963
1,210,2.4884644,0.21875,0.1361111111111111,0.1388888888888889,0.11777777777777777
1,211,2.6625535,0.25,0.19696969696969696,0.16666666666666666,0.17575757575757575
1,212,2.8907418,0.1875,0.15,0.15555555555555553,0.1488888888888889
1,213,2.356667,0.1875,0.13218390804597702,0.10344827586206896,0.09999999999999999
1,214,2.3546567,0.34375,0.22126436781609196,0.23275862068965517,0.2045977011494253
1,215,2.3688474,0.4375,0.2857142857142857,0.369047619047619,0.29761904761904756
1,216,2.4894576,0.34375,0.234375,0.265625,0.23854166666666665
1,217,2.614377,0.25,0.19642857142857142,0.17857142857142858,0.1738095238095238
1,218,2.74701,0.25,0.18686868686868685,0.22727272727272727,0.19047619047619047
1,219,2.6633663,0.1875,0.109375,0.09895833333333333,0.09598214285714285
1,220,2.349829,0.28125,0.2716049382716049,0.28703703703703703,0.2617283950617284
1,221,2.4958315,0.21875,0.16666666666666666,0.11944444444444444,0.12444444444444443
1,222,2.8766263,0.125,0.08333333333333333,0.14285714285714285,0.10119047619047618
1,223,2.85619,0.28125,0.20588235294117646,0.20098039215686272,0.19117647058823528
1,224,2.6609871,0.21875,0.16666666666666666,0.2043010752688172,0.16666666666666666
1,225,2.504814,0.4375,0.322463768115942,0.358695652173913,0.3064182194616977
1,226,2.6543865,0.21875,0.19117647058823528,0.20588235294117646,0.196078431372549
1,227,2.3683596,0.1875,0.12586206896551724,0.1206896551724138,0.1024630541871921
1,228,2.7732675,0.21875,0.1547619047619048,0.11904761904761904,0.12738095238095237
1,229,2.9034576,0.125,0.08181818181818182,0.09090909090909091,0.07070707070707072
1,230,2.2908456,0.21875,0.17816091954022986,0.1724137931034483,0.16666666666666666
1,231,2.4876347,0.28125,0.17857142857142858,0.16666666666666666,0.1630952380952381
1,232,2.5601072,0.21875,0.1388888888888889,0.15,0.12619047619047616
1,233,2.856107,0.28125,0.19270833333333331,0.234375,0.19791666666666666
1,234,2.3452017,0.375,0.35802469135802467,0.2962962962962963,0.3135802469135803
1,235,2.4347835,0.28125,0.19791666666666666,0.2109375,0.1964285714285714
1,236,2.2062776,0.34375,0.25,0.2604166666666667,0.2520833333333333
1,237,2.8883538,0.1875,0.1111111111111111,0.13333333333333333,0.11666666666666667
1,238,2.333617,0.34375,0.18958333333333333,0.20833333333333331,0.1949404761904762
1,239,2.7066848,0.34375,0.24712643678160917,0.2557471264367816,0.2264367816091954
1,240,2.5315726,0.15625,0.10952380952380951,0.11428571428571428,0.1
1,241,2.4773488,0.28125,0.17424242424242425,0.22727272727272727,0.18888888888888886
1,242,2.6777158,0.15625,0.09425287356321839,0.09770114942528735,0.07717569786535304
1,243,2.3944085,0.28125,0.16145833333333331,0.19791666666666666,0.171875
1,244,1.9783514,0.3125,0.1925287356321839,0.22413793103448276,0.1896551724137931
1,245,2.6334465,0.15625,0.09482758620689655,0.132183908045977,0.10755336617405584
1,246,2.1940196,0.375,0.2469135802469136,0.25925925925925924,0.23950617283950618
1,247,2.6769645,0.28125,0.21875,0.203125,0.203125
1,248,2.8687315,0.0625,0.04411764705882353,0.04411764705882353,0.04411764705882353
