epoch,batch,train_loss,train_accuracy,train_precision,train_recall,train_f1-score
0,0,4.268657,0.0,0.0,0.0,0.0
1,1,4.2829967,0.0,0.0,0.0,0.0
1,2,4.143528,0.0,0.0,0.0,0.0
1,3,3.7419763,0.0625,0.015625,0.0625,0.024553571428571428
1,4,3.9802012,0.0,0.0,0.0,0.0
1,5,3.8150597,0.03125,0.03225806451612903,0.03225806451612903,0.03225806451612903
1,6,3.816933,0.03125,0.03125,0.015625,0.020833333333333332
1,7,3.6454556,0.03125,0.016666666666666666,0.03333333333333333,0.02222222222222222
1,8,3.5311496,0.125,0.08045977011494253,0.11494252873563217,0.08850574712643677
1,9,3.471503,0.125,0.06419753086419752,0.07407407407407407,0.060670194003527335
1,10,3.4275894,0.125,0.06666666666666667,0.07777777777777777,0.05952380952380952
1,11,3.6334531,0.15625,0.09191919191919193,0.1313131313131313,0.09090909090909091
1,12,3.3403015,0.125,0.05128205128205128,0.11538461538461539,0.0673992673992674
1,13,3.0324943,0.28125,0.2111111111111111,0.23333333333333334,0.20555555555555555
1,14,2.8106513,0.21875,0.15396825396825395,0.18333333333333332,0.1537037037037037
1,15,3.1675136,0.375,0.2234375,0.28125,0.23869047619047618
1,16,3.1760895,0.1875,0.15804597701149428,0.14942528735632182,0.12873563218390804
1,17,2.6270576,0.4375,0.2551282051282051,0.3,0.26153846153846155
1,18,2.893436,0.28125,0.14655172413793102,0.20689655172413793,0.15402298850574714
1,19,3.01155,0.34375,0.18678160919540232,0.23275862068965517,0.18883415435139572
1,20,2.81359,0.21875,0.16785714285714287,0.1845238095238095,0.15119047619047618
1,21,2.6768773,0.25,0.16777777777777778,0.15555555555555553,0.13777777777777775
1,22,2.6965065,0.25,0.13010752688172042,0.1989247311827957,0.14408602150537636
1,23,2.7088275,0.34375,0.20833333333333331,0.25892857142857145,0.2119047619047619
1,24,2.7634463,0.28125,0.1611111111111111,0.2,0.17555555555555555
1,25,2.4687924,0.3125,0.22777777777777777,0.2611111111111111,0.23
1,26,2.0878115,0.46875,0.3269230769230769,0.391025641025641,0.3448717948717948
1,27,2.4011114,0.25,0.15517241379310345,0.20689655172413793,0.1632183908045977
1,28,2.2344832,0.3125,0.22395833333333334,0.21875,0.203125
1,29,2.24032,0.375,0.32142857142857145,0.3273809523809524,0.28809523809523807
1,30,2.707519,0.34375,0.22321428571428573,0.26785714285714285,0.23809523809523808
1,31,2.50827,0.3125,0.225,0.21875,0.21205357142857142
1,32,2.1882355,0.53125,0.3416666666666667,0.35833333333333334,0.3472222222222222
1,33,2.5265605,0.375,0.27956989247311825,0.3064516129032258,0.27634408602150534
1,34,2.2249484,0.40625,0.2777777777777778,0.3277777777777777,0.26555555555555554
1,35,2.1629322,0.40625,0.30357142857142855,0.26785714285714285,0.275
1,36,1.7317973,0.5,0.4,0.43333333333333335,0.4
1,37,1.8180139,0.5,0.3494623655913978,0.3763440860215054,0.343010752688172
